station,stratum,year,season,lat,lon,depth,surftemp,comname,abundance,biomass
1,1020,2001,SPRING,39.739918,-72.387748,89,6.42,ATLANTIC COD,0,0
1,1020,2002,SPRING,39.478667,-72.799167,67,9.68,ATLANTIC COD,0,0
1,1030,2006,SPRING,39.22755,-72.712033,115,7.06,ATLANTIC COD,0,0
1,1040,2002,FALL,39.412167,-72.249667,241,23.57,ATLANTIC COD,0,0
1,1070,2008,SPRING,40.143615,-71.067247,142,6.86,ATLANTIC COD,0,0
1,1690,2004,FALL,37.973952,-74.432775,55,22.51,ATLANTIC COD,0,0
1,1700,2003,SPRING,38.502468,-73.858742,59,8.83,ATLANTIC COD,0,0
1,1700,2011,SPRING,38.549558,-73.744973,59,6.59,ATLANTIC COD,0,0
1,1730,2010,SPRING,39.485152,-73.800555,36,4.32,ATLANTIC COD,0,0
1,1740,2001,FALL,38.895348,-73.231942,84,24.75,ATLANTIC COD,0,0
1,1750,2004,SPRING,38.991667,-72.91,99,4.18,ATLANTIC COD,0,0
1,1750,2005,FALL,38.765352,-73.08358,132,24.55,ATLANTIC COD,0,0
1,1750,2009,FALL,39.009517,-72.858975,118,23.23,ATLANTIC COD,0,0
1,1760,2006,FALL,38.821587,-72.94506,284,22.29,ATLANTIC COD,0,0
1,1760,2007,SPRING,38.832202,-72.931608,284,8.98,ATLANTIC COD,0,0
1,3240,2007,FALL,38.863185,-75.051365,13,24.28,ATLANTIC COD,0,0
1,3320,2005,SPRING,37.685147,-75.306653,17,4.37,ATLANTIC COD,0,0
2,1020,2001,SPRING,39.776932,-72.507903,72,5.91,ATLANTIC COD,0,0
2,1060,2008,SPRING,40.238328,-71.475005,86,4.99,ATLANTIC COD,0,0
2,1070,2003,FALL,39.937667,-71.7145,113,22.65,ATLANTIC COD,0,0
2,1700,2003,SPRING,38.376472,-74.01873,63,8.96,ATLANTIC COD,0,0
2,1700,2004,FALL,37.857238,-74.378627,66,22.78,ATLANTIC COD,0,0
2,1720,2010,FALL,37.837277,-74.107982,242,NA,ATLANTIC COD,0,0
2,1720,2011,SPRING,38.369658,-73.571818,292,9.29,ATLANTIC COD,0,0
2,1740,2006,SPRING,39.265467,-72.883717,75,7.11,ATLANTIC COD,0,0
2,1740,2009,FALL,38.976887,-73.190278,67,23.58,ATLANTIC COD,0,0
2,1750,2005,FALL,38.69649,-73.108538,152,24.66,ATLANTIC COD,0,0
2,1750,2006,FALL,38.819508,-73.059678,87,22.11,ATLANTIC COD,0,0
2,1750,2007,SPRING,38.862805,-72.96971,117,8.95,ATLANTIC COD,0,0
2,1750,2008,FALL,38.836908,-72.998873,116,22.84,ATLANTIC COD,0,0
2,1760,2004,SPRING,38.84,-72.931,282,4.25,ATLANTIC COD,0,0
2,3200,2010,SPRING,39.478947,-74.098582,22,3.19,ATLANTIC COD,0,0
2,3240,2007,FALL,38.734638,-75.065682,10,24.66,ATLANTIC COD,0,0
3,1020,2001,SPRING,39.608883,-72.544632,89,6.39,ATLANTIC COD,0,0
3,1060,2008,SPRING,40.314878,-71.580388,83,5.21,ATLANTIC COD,0,0
3,1700,2003,SPRING,38.368325,-74.107758,59,8.84,ATLANTIC COD,0,0
3,1700,2011,SPRING,38.436338,-73.763462,66,6.99,ATLANTIC COD,0,0
3,1710,2013,SPRING,38.411098,-73.431095,118,7.1,ATLANTIC COD,0,0
3,1730,2006,SPRING,39.394317,-73.273117,54,6.85,ATLANTIC COD,0,0
3,1740,2006,FALL,38.77743,-73.349842,74,21.66,ATLANTIC COD,0,0
3,1740,2009,FALL,38.936652,-73.21515,76,23.71,ATLANTIC COD,0,0
3,1750,2001,FALL,38.76783,-73.073715,141,25.76,ATLANTIC COD,0,0
3,1750,2004,SPRING,38.485667,-73.346,124,5.81,ATLANTIC COD,0,0
3,1760,2007,SPRING,38.709918,-73.072427,195,8.36,ATLANTIC COD,0,0
3,3250,2007,FALL,38.61336,-75.011172,13,24.5,ATLANTIC COD,0,0
3,3450,2002,SPRING,41.351667,-71.143333,29,4.75,ATLANTIC COD,0,0
4,1020,2003,FALL,40.060833,-71.913333,78,22.25,ATLANTIC COD,0,0
4,1020,2008,FALL,39.590328,-72.940748,62,22.45,ATLANTIC COD,0,0
4,1040,2001,SPRING,39.526917,-72.4255,177,7.3,ATLANTIC COD,0,0
4,1050,2002,SPRING,41.281167,-71.231333,38,5.11,ATLANTIC COD,0,0
4,1060,2008,SPRING,40.526647,-71.51064,74,5.73,ATLANTIC COD,0,0
4,1670,2004,FALL,37.238943,-74.544663,127,23.19,ATLANTIC COD,0,0
4,1700,2003,SPRING,38.266078,-74.0065,70,9.04,ATLANTIC COD,0,0
4,1700,2011,SPRING,38.193587,-74.014755,79,7.16,ATLANTIC COD,0,0
4,1700,2013,SPRING,38.277627,-73.776835,109,7.87,ATLANTIC COD,0,0
4,1720,2010,FALL,37.690213,-74.192592,305,23.38,ATLANTIC COD,0,0
4,1740,2004,SPRING,38.525333,-73.383167,104,7.18,ATLANTIC COD,0,0
4,1740,2006,FALL,38.650738,-73.420825,78,20.28,ATLANTIC COD,0,0
4,1740,2006,SPRING,39.272217,-73.2722,57,6.85,ATLANTIC COD,0,0
4,1740,2012,SPRING,39.161363,-73.195197,66,9.16,ATLANTIC COD,0,0
4,1750,2001,FALL,38.71185,-73.094162,152,25.7,ATLANTIC COD,0,0
4,1750,2007,SPRING,38.613162,-73.252613,139,8.51,ATLANTIC COD,0,0
4,1760,2002,FALL,39.092167,-72.703,346,22.87,ATLANTIC COD,0,0
4,1760,2009,FALL,38.865575,-72.898423,356,23.14,ATLANTIC COD,0,0
4,3200,2010,SPRING,39.349672,-74.09237,25,3.35,ATLANTIC COD,0,0
4,3280,2007,FALL,38.407415,-74.937727,20,24.18,ATLANTIC COD,0,0
5,1020,2003,FALL,40.032333,-72.014833,80,21.54,ATLANTIC COD,0,0
5,1020,2008,FALL,39.724692,-72.856847,72,NA,ATLANTIC COD,0,0
5,1050,2002,SPRING,41.219667,-71.3035,38,6.02,ATLANTIC COD,0,0
5,1050,2008,SPRING,40.606043,-72.078993,52,5.38,ATLANTIC COD,0,0
5,1650,2005,SPRING,37.428228,-75.218953,29,4.43,ATLANTIC COD,0,0
5,1700,2004,SPRING,38.5625,-73.7845,60,6.87,ATLANTIC COD,0,0
5,1700,2010,FALL,37.737415,-74.255533,113,22.62,ATLANTIC COD,0,0
5,1710,2011,SPRING,38.10112,-73.897463,124,8.23,ATLANTIC COD,0,0
5,1710,2013,SPRING,38.213628,-73.782463,116,7.47,ATLANTIC COD,0,0
5,1720,2003,SPRING,38.186177,-73.692108,288,9.04,ATLANTIC COD,0,0
5,1730,2006,SPRING,39.2345,-73.5168,45,5.93,ATLANTIC COD,0,0
5,1740,2012,SPRING,39.093515,-73.17583,69,10.1,ATLANTIC COD,0,0
5,1750,2002,FALL,39.006833,-72.83,121,22.66,ATLANTIC COD,0,0
5,1750,2006,FALL,38.657008,-73.186957,130,22.98,ATLANTIC COD,0,0
5,1750,2007,SPRING,38.57518,-73.245528,158,7.98,ATLANTIC COD,0,0
5,1750,2012,FALL,38.562705,-73.271158,138,25.22,ATLANTIC COD,0,0
5,3290,2007,FALL,38.320868,-74.857758,16,23.72,ATLANTIC COD,0,0
6,1020,2008,FALL,39.825927,-72.636087,57,NA,ATLANTIC COD,0,0
6,1030,2001,SPRING,39.22963,-72.697662,127,6.44,ATLANTIC COD,0,0
6,1050,2002,SPRING,40.894333,-71.251,55,6.95,ATLANTIC COD,0,0
6,1050,2008,SPRING,40.804417,-72.0887,40,4.49,ATLANTIC COD,0,0
6,1650,2005,SPRING,37.408283,-75.321565,27,4.28,ATLANTIC COD,0,0
6,1670,2011,FALL,36.977443,-74.63074,148,23.58,ATLANTIC COD,0,0
6,1700,2004,SPRING,38.481167,-73.784833,65,6.74,ATLANTIC COD,0,0
6,1700,2010,FALL,37.642777,-74.365667,95,23.13,ATLANTIC COD,0,0
6,1700,2013,SPRING,38.300057,-74.127437,61,7.38,ATLANTIC COD,0,0
6,1710,2003,SPRING,38.009075,-73.920022,160,9.6,ATLANTIC COD,0,0
6,1710,2006,FALL,38.3857,-73.635962,113,21.82,ATLANTIC COD,0,0
6,1710,2007,SPRING,38.402293,-73.635622,112,9.88,ATLANTIC COD,0,0
6,1720,2011,SPRING,38.064535,-73.840338,324,12.65,ATLANTIC COD,0,0
6,1740,2001,FALL,38.564572,-73.362022,92,25.54,ATLANTIC COD,0,0
6,1740,2002,FALL,38.805333,-73.337667,76,22.72,ATLANTIC COD,0,0
6,1740,2006,SPRING,39.063233,-73.18885,72,8.13,ATLANTIC COD,0,0
6,1740,2012,SPRING,39.029228,-73.216733,73,NA,ATLANTIC COD,0,0
6,1760,2012,FALL,38.482323,-73.312673,305,25.17,ATLANTIC COD,0,0
6,3270,2007,FALL,38.28658,-75.091685,11,24.94,ATLANTIC COD,0,0
7,1020,2008,FALL,39.70698,-72.455588,90,NA,ATLANTIC COD,0,0
7,1050,2002,SPRING,40.980833,-71.45,50,6.55,ATLANTIC COD,1,6.04
7,1650,2011,FALL,36.955818,-74.920427,47,24.42,ATLANTIC COD,0,0
7,1660,2010,FALL,37.607987,-74.582922,64,23.73,ATLANTIC COD,0,0
7,1700,2001,FALL,38.638692,-73.739617,60,24.31,ATLANTIC COD,0,0
7,1700,2006,FALL,38.400145,-73.74601,81,22.41,ATLANTIC COD,0,0
7,1700,2007,SPRING,38.318622,-73.882763,77,9.48,ATLANTIC COD,0,0
7,1710,2003,SPRING,37.912975,-74.129508,114,9.09,ATLANTIC COD,0,0
7,1710,2004,SPRING,38.230333,-73.814,116,7.95,ATLANTIC COD,0,0
7,1710,2011,SPRING,38.017873,-73.996352,126,9.27,ATLANTIC COD,0,0
